id,age,revenu,score1,categorie,frequence,depense,cluster
106,23,123776,31,1,5,5.8,2
107,61,87455,27,0,3,4.0,1
108,42,157826,20,1,8,3.2,1
109,31,118407,45,2,4,2.3,2
110,39,129944,36,1,6,5.9,2
111,25,101672,33,3,1,1.8,2
112,50,146228,22,0,10,4.6,1
113,44,139317,29,1,4,2.4,1
114,37,153904,41,2,6,5.2,2
115,29,92053,30,1,2,3.5,2
116,58,158772,38,0,7,4.9,1
117,20,109544,24,2,5,2.7,2
118,63,131886,42,1,9,5.4,1
119,46,84488,21,0,3,1.2,1
120,33,140915,34,3,4,3.8,2
121,35,173449,49,5,18,10.0,3
122,42,131770,55,2,11,7.6,2
123,19,209482,60,3,14,8.9,3
124,28,236118,63,4,19,6.5,3
125,54,148905,46,2,12,11.1,1
126,31,188253,58,5,16,9.4,3
127,24,229004,62,4,21,5.8,3
128,46,126498,41,3,9,10.8,1
129,37,219775,57,6,18,7.0,3
130,25,157990,50,2,13,8.3,2
131,33,204661,61,5,17,4.9,3
132,40,175284,47,3,10,11.4,2
133,21,143005,44,2,8,6.2,2
134,29,234889,64,6,20,9.8,3
135,52,212447,59,4,15,10.6,3
136,27,168774,53,3,14,5.0,2
137,44,241201,65,6,22,7.4,3
138,30,122918,42,2,9,6.7,2
139,38,196554,56,5,16,8.2,3
140,23,227320,60,4,19,11.9,3
141,33,254763,75,4,22,14.0,3
142,47,214681,67,6,24,13.2,3
143,26,299114,78,7,29,8.4,3
144,39,175845,62,5,20,11.7,3
145,18,232207,73,6,27,15.0,3
146,54,281544,79,8,28,10.8,3
147,31,201666,64,4,19,14.6,3
148,43,268910,70,7,26,9.2,3
149,22,173998,66,5,21,12.4,3
150,37,243501,71,6,23,8.9,3
151,29,286004,77,7,30,13.8,0
152,48,190117,61,4,18,10.3,3
153,24,221430,68,5,24,11.1,3
154,35,257998,74,8,29,14.9,0
155,41,209332,63,4,20,12.0,3
156,27,175204,65,6,22,9.6,3
157,56,297520,80,8,30,15.3,0
158,32,235680,72,5,25,10.5,3
159,45,263410,69,7,27,13.0,3
160,20,198775,76,6,26,8.7,3
161,29,279816,92,10,41,20.4,0
162,34,328550,86,8,35,17.2,0
163,23,257910,79,7,31,14.5,0
164,41,301224,95,10,44,22.1,0
165,18,214668,77,6,27,13.4,3
166,27,344901,89,9,38,18.6,0
167,30,269770,83,8,33,16.0,0
168,46,198334,76,7,29,12.6,3
169,22,286410,91,10,42,19.3,0
170,38,316785,87,9,39,21.0,0
171,25,245990,80,7,32,15.7,0
172,33,333210,94,10,45,23.2,0
173,19,230441,78,6,28,12.3,3
174,28,275603,84,8,34,17.9,0
175,35,307488,88,9,37,18.8,0
176,42,190885,75,6,25,13.1,3
177,24,298125,93,10,43,20.8,0
178,31,321904,85,8,36,16.4,0
179,20,259337,82,7,30,14.9,0
180,39,341995,90,9,40,22.7,0
181,40,118774,31,0,2,1.5,1
182,57,147690,43,1,4,2.8,1
183,49,166812,46,2,7,3.6,1
184,62,93021,23,0,1,0.7,1
185,35,142337,35,1,5,2.4,2
186,44,159448,40,1,6,4.1,1
187,53,110563,28,0,2,1.3,1
188,65,173050,49,2,8,4.4,1
189,31,126994,37,1,4,2.0,2
190,50,137845,32,1,3,1.9,1
191,58,151206,44,2,7,3.3,1
192,46,98940,25,0,1,1.1,1
193,37,163920,47,2,8,4.2,2
194,42,121355,29,1,5,2.6,1
195,55,145770,38,1,4,3.5,1
196,30,168410,45,2,7,4.0,2
197,63,90222,24,0,1,0.9,1
198,39,154388,41,1,6,2.8,2
199,52,116889,33,0,2,1.4,1
200,45,172918,48,2,8,4.5,1
