id,age,revenu_mensuel,score_interet,frequence_activite,nb_connexions_mensuelles,temps_en_ligne
128,46,126498,41,3,9,10.8
129,37,219775,57,6,18,7.0
130,25,157990,50,2,13,8.3
131,33,204661,61,5,17,4.9
132,40,175284,47,3,10,11.4
133,21,143005,44,2,8,6.2
134,29,234889,64,6,20,9.8
135,52,212447,59,4,15,10.6
136,27,168774,53,3,14,5.0
137,44,241201,65,6,22,7.4
138,30,122918,42,2,9,6.7
139,38,196554,56,5,16,8.2
140,23,227320,60,4,19,11.9
141,33,254763,75,4,22,14.0
142,47,214681,67,6,24,13.2
143,26,299114,78,7,29,8.4
144,39,175845,62,5,20,11.7
145,18,232207,73,6,27,15.0
146,54,281544,79,8,28,10.8
147,31,201666,64,4,19,14.6
148,43,268910,70,7,26,9.2
149,22,173998,66,5,21,12.4
150,37,243501,71,6,23,8.9
151,29,286004,77,7,30,13.8
152,48,190117,61,4,18,10.3
153,24,221430,68,5,24,11.1
154,35,257998,74,8,29,14.9
155,41,209332,63,4,20,12.0
156,27,175204,65,6,22,9.6
157,56,297520,80,8,30,15.3
158,32,235680,72,5,25,10.5
159,45,263410,69,7,27,13.0
160,20,198775,76,6,26,8.7
161,29,279816,92,10,41,20.4
162,34,328550,86,8,35,17.2
163,23,257910,79,7,31,14.5
164,41,301224,95,10,44,22.1
165,18,214668,77,6,27,13.4
166,27,344901,89,9,38,18.6
167,30,269770,83,8,33,16.0
168,46,198334,76,7,29,12.6
169,22,286410,91,10,42,19.3
170,38,316785,87,9,39,21.0
171,25,245990,80,7,32,15.7
172,33,333210,94,10,45,23.2
173,19,230441,78,6,28,12.3
174,28,275603,84,8,34,17.9
175,35,307488,88,9,37,18.8
176,42,190885,75,6,25,13.1
177,24,298125,93,10,43,20.8
178,31,321904,85,8,36,16.4
179,20,259337,82,7,30,14.9
180,39,341995,90,9,40,22.7
181,40,118774,31,0,2,1.5
182,57,147690,43,1,4,2.8
183,49,166812,46,2,7,3.6
184,62,93021,23,0,1,0.7
185,35,142337,35,1,5,2.4
186,44,159448,40,1,6,4.1
187,53,110563,28,0,2,1.3
188,65,173050,49,2,8,4.4
189,31,126994,37,1,4,2.0
190,50,137845,32,1,3,1.9
191,58,151206,44,2,7,3.3
192,46,98940,25,0,1,1.1
193,37,163920,47,2,8,4.2
194,42,121355,29,1,5,2.6
195,55,145770,38,1,4,3.5
196,30,168410,45,2,7,4.0
197,63,90222,24,0,1,0.9
198,39,154388,41,1,6,2.8
199,52,116889,33,0,2,1.4
200,45,172918,48,2,8,4.5
